timestamp,yes_bid,no_bid,yes_ask,no_ask
1767731407802942,50.0,,,50.0
1767731409672175,50.0,45.0,55.0,50.0
1767731422605210,50.0,40.0,60.0,50.0
1767731435000000,40.0,40.0,60.0,60.0
1767731435022184,45.0,40.0,60.0,55.0
1767731435813969,45.0,51.0,49.0,55.0
1767731435979695,45.0,52.0,48.0,55.0
1767731438845215,45.0,53.0,47.0,55.0
1767731439738050,45.0,54.0,46.0,55.0
1767731448256518,45.0,52.0,48.0,55.0
1767731448259843,45.0,45.0,55.0,55.0
1767731448367585,45.0,52.0,48.0,55.0
1767731448379061,45.0,45.0,55.0,55.0
1767731448379061,48.0,45.0,55.0,52.0
1767731448380615,48.0,47.0,53.0,52.0
1767731449272182,48.0,48.0,52.0,52.0
1767731449273146,47.0,48.0,52.0,53.0
1767731449443715,48.0,48.0,52.0,52.0
1767731449493231,47.0,48.0,52.0,53.0
1767731450543174,48.0,48.0,52.0,52.0
1767731450667762,47.0,48.0,52.0,53.0
1767731450725065,49.0,48.0,52.0,51.0
1767731453999142,48.0,48.0,52.0,52.0
1767731454053452,47.0,48.0,52.0,53.0
1767731454053452,49.0,48.0,52.0,51.0
1767731454114184,47.0,48.0,52.0,53.0
1767731454114184,50.0,48.0,52.0,50.0
1767731456185794,47.0,48.0,52.0,53.0
1767731456185794,49.0,48.0,52.0,51.0
1767731456703641,50.0,48.0,52.0,50.0
1767731456970433,50.0,47.0,53.0,50.0
1767731458811933,51.0,47.0,53.0,49.0
1767731458873729,51.0,44.0,56.0,49.0
1767731458873729,51.0,45.0,55.0,49.0
1767731458887853,51.0,47.0,53.0,49.0
1767731458907136,51.0,45.0,55.0,49.0
1767731459264650,50.0,45.0,55.0,50.0
1767731459264650,52.0,45.0,55.0,48.0
1767731459599391,50.0,45.0,55.0,50.0
1767731459599391,53.0,45.0,55.0,47.0
1767731459654252,50.0,45.0,55.0,50.0
1767731459654252,54.0,45.0,55.0,46.0
1767731459744953,54.0,44.0,56.0,46.0
1767731461000000,54.0,41.0,59.0,46.0
1767731461230742,54.0,40.0,60.0,46.0
1767731461237737,54.0,42.0,58.0,46.0
1767731461373178,56.0,42.0,58.0,44.0
1767731462099814,57.0,42.0,58.0,43.0
1767731465397820,56.0,42.0,58.0,44.0
1767731466938536,56.0,41.0,59.0,44.0
1767731467586709,57.0,41.0,59.0,43.0
1767731470890338,56.0,41.0,59.0,44.0
1767731472091856,54.0,41.0,59.0,46.0
1767731472623309,55.0,41.0,59.0,45.0
1767731473029572,55.0,42.0,58.0,45.0
1767731474000000,55.0,41.0,59.0,45.0
1767731474706907,55.0,44.0,56.0,45.0
1767731477271954,47.0,44.0,56.0,53.0
1767731477275494,51.0,44.0,56.0,49.0
1767731477395256,51.0,45.0,55.0,49.0
1767731477602817,52.0,45.0,55.0,48.0
1767731477668531,51.0,45.0,55.0,49.0
1767731477668531,53.0,45.0,55.0,47.0
1767731477728755,51.0,45.0,55.0,49.0
1767731477728755,54.0,45.0,55.0,46.0
1767731478964182,51.0,45.0,55.0,49.0
1767731478964182,52.0,45.0,55.0,48.0
1767731479022034,51.0,45.0,55.0,49.0
1767731479130349,51.0,46.0,54.0,49.0
1767731479569543,51.0,47.0,53.0,49.0
1767731481959761,51.0,48.0,52.0,49.0
1767731485247404,51.0,47.0,53.0,49.0
1767731487879842,52.0,47.0,53.0,48.0
1767731488036723,52.0,46.0,54.0,48.0
1767731488085428,53.0,46.0,54.0,47.0
1767731488292230,53.0,45.0,55.0,47.0
1767731495554354,48.0,45.0,55.0,52.0
1767731495560021,49.0,45.0,55.0,51.0
1767731495573234,49.0,46.0,54.0,51.0
1767731495686483,49.0,47.0,53.0,51.0
1767731496027683,50.0,47.0,53.0,50.0
1767731496161850,50.0,48.0,52.0,50.0
1767731496290666,50.0,47.0,53.0,50.0
1767731496298293,49.0,47.0,53.0,51.0
1767731496298293,51.0,47.0,53.0,49.0
1767731496357368,50.0,47.0,53.0,50.0
1767731496357368,52.0,47.0,53.0,48.0
1767731498866862,52.0,46.0,54.0,48.0
1767731498917036,53.0,46.0,54.0,47.0
1767731498954852,53.0,45.0,55.0,47.0
1767731499000000,53.0,44.0,56.0,47.0
1767731499018167,54.0,44.0,56.0,46.0
1767731499019214,54.0,43.0,57.0,46.0
1767731499022816,55.0,43.0,57.0,45.0
1767731499033902,54.0,43.0,57.0,46.0
1767731499055031,56.0,43.0,57.0,44.0
1767731499083974,56.0,41.0,59.0,44.0
1767731499132697,56.0,40.0,60.0,44.0
1767731499211125,57.0,40.0,60.0,43.0
1767731499277786,58.0,40.0,60.0,42.0
1767731499337815,59.0,40.0,60.0,41.0
1767731500109108,59.0,37.0,63.0,41.0
1767731500159291,58.0,37.0,63.0,42.0
1767731500181591,58.0,36.0,64.0,42.0
1767731500182377,58.0,38.0,62.0,42.0
1767731500208359,59.0,38.0,62.0,41.0
1767731500789139,60.0,38.0,62.0,40.0
1767731500845369,61.0,38.0,62.0,39.0
1767731504432929,61.0,36.0,64.0,39.0
1767731504583546,61.0,37.0,63.0,39.0
1767731504635779,61.0,34.0,66.0,39.0
1767731504685945,61.0,35.0,65.0,39.0
1767731504716936,61.0,37.0,63.0,39.0
1767731504762014,62.0,37.0,63.0,38.0
1767731506962984,59.0,37.0,63.0,41.0
1767731506962984,61.0,37.0,63.0,39.0
1767731507017519,59.0,37.0,63.0,41.0
1767731507071904,59.0,38.0,62.0,41.0
1767731507185885,58.0,38.0,62.0,42.0
1767731507254216,58.0,39.0,61.0,42.0
1767731507373390,58.0,38.0,62.0,42.0
1767731507866163,59.0,38.0,62.0,41.0
1767731507925486,58.0,38.0,62.0,42.0
1767731507925486,60.0,38.0,62.0,40.0
1767731508007146,60.0,39.0,61.0,40.0
1767731508131856,60.0,38.0,62.0,40.0
1767731508152274,60.0,39.0,61.0,40.0
1767731508197803,60.0,38.0,62.0,40.0
1767731508378486,61.0,38.0,62.0,39.0
1767731508384888,61.0,37.0,63.0,39.0
1767731508439224,60.0,37.0,63.0,40.0
1767731508439224,62.0,37.0,63.0,38.0
1767731509977697,62.0,36.0,64.0,38.0
1767731510002641,62.0,37.0,63.0,38.0
1767731510020510,62.0,36.0,64.0,38.0
1767731510023121,63.0,36.0,64.0,37.0
1767731510043684,63.0,34.0,66.0,37.0
1767731510100833,65.0,34.0,66.0,35.0
1767731510116616,65.0,30.0,70.0,35.0
1767731510123559,63.0,30.0,70.0,37.0
1767731510123559,63.0,35.0,65.0,37.0
1767731510139283,63.0,31.0,69.0,37.0
1767731510157182,64.0,31.0,69.0,36.0
1767731510222778,64.0,34.0,66.0,36.0
1767731510322100,65.0,34.0,66.0,35.0
1767731511145276,65.0,32.0,68.0,35.0
1767731511201965,66.0,32.0,68.0,34.0
1767731511264605,64.0,32.0,68.0,36.0
1767731511264605,67.0,32.0,68.0,33.0
1767731512139562,67.0,31.0,69.0,33.0
1767731512194196,63.0,31.0,69.0,37.0
1767731512221285,65.0,31.0,69.0,35.0
1767731512274355,63.0,31.0,69.0,37.0
1767731512318808,64.0,31.0,69.0,36.0
1767731513006845,65.0,31.0,69.0,35.0
1767731513100392,66.0,31.0,69.0,34.0
1767731513234378,67.0,31.0,69.0,33.0
1767731516510650,66.0,31.0,69.0,34.0
1767731517921541,67.0,31.0,69.0,33.0
1767731519177684,67.0,30.0,70.0,33.0
1767731519308726,68.0,30.0,70.0,32.0
1767731520343169,68.0,29.0,71.0,32.0
1767731520553581,68.0,30.0,70.0,32.0
1767731522160998,69.0,30.0,70.0,31.0
1767731523033337,68.0,30.0,70.0,32.0
1767731524941500,68.0,31.0,69.0,32.0
1767731542616599,67.0,31.0,69.0,33.0
1767731542616599,67.0,32.0,68.0,33.0
1767731543101977,66.0,32.0,68.0,34.0
1767731544928540,66.0,33.0,67.0,34.0
1767731545143984,64.0,33.0,67.0,36.0
1767731545163295,65.0,33.0,67.0,35.0
1767731545232530,65.0,34.0,66.0,35.0
