timestamp,event_type,side,price,quantity_change
1767731407802942,orderbook_update,yes,50,20
1767731407937272,orderbook_update,yes,40,1
1767731409672175,orderbook_update,no,45,20
1767731410028066,orderbook_update,no,45,6
1767731414147957,orderbook_update,no,40,1
1767731419000000,trade,no,50,-1
1767731419617833,orderbook_update,yes,50,-1
1767731422000000,trade,yes,55,-20
1767731422000000,trade,yes,55,-5
1767731422392636,orderbook_update,no,45,5
1767731422605210,orderbook_update,no,45,-20
1767731422605210,orderbook_update,no,45,-5
1767731425955895,orderbook_update,no,35,5
1767731430000000,trade,no,50,-1
1767731430149189,orderbook_update,yes,50,-1
1767731430584986,orderbook_update,yes,10,1
1767731435000000,trade,no,50,-18
1767731435022184,orderbook_update,yes,45,2
1767731435812850,orderbook_update,yes,44,21
1767731435813969,orderbook_update,yes,50,-18
1767731435813969,orderbook_update,no,51,25
1767731435979695,orderbook_update,no,52,1
1767731438350991,orderbook_update,yes,29,200
1767731438768203,orderbook_update,no,43,200
1767731438798417,orderbook_update,yes,44,-21
1767731438800092,orderbook_update,no,51,-25
1767731438806330,orderbook_update,yes,43,38
1767731438807912,orderbook_update,no,52,26
1767731438827119,orderbook_update,yes,43,-38
1767731438827909,orderbook_update,no,52,-26
1767731438842454,orderbook_update,yes,42,44
1767731438845215,orderbook_update,no,53,21
1767731439168602,orderbook_update,no,52,-1
1767731439737138,orderbook_update,yes,41,36
1767731439738050,orderbook_update,no,54,29
1767731439738304,orderbook_update,yes,42,-44
1767731439739773,orderbook_update,no,53,-21
1767731440778901,orderbook_update,yes,29,5000
1767731440780513,orderbook_update,no,44,5000
1767731441000000,trade,no,45,-1
1767731441140941,orderbook_update,yes,29,-200
1767731441302137,orderbook_update,yes,45,-1
1767731441568259,orderbook_update,yes,19,200
1767731442752766,orderbook_update,no,43,-200
1767731443183807,orderbook_update,no,53,200
1767731443835617,orderbook_update,yes,40,100
1767731443892465,orderbook_update,no,54,100
1767731444284857,orderbook_update,no,35,-5
1767731444786982,orderbook_update,yes,19,-200
1767731445152524,orderbook_update,yes,27,200
1767731445532549,orderbook_update,no,53,-200
1767731445948702,orderbook_update,no,45,200
1767731447000000,trade,yes,46,-2
1767731447062383,orderbook_update,no,54,-2
1767731448000000,trade,yes,46,-20
1767731448000000,trade,yes,46,-35
1767731448000000,trade,yes,46,-32
1767731448000000,trade,yes,46,-1
1767731448000000,trade,yes,48,-12
1767731448000000,trade,yes,53,-1
1767731448000000,trade,no,48,-17
1767731448013224,orderbook_update,yes,1,4600
1767731448242991,orderbook_update,yes,43,29
1767731448243839,orderbook_update,yes,41,-36
1767731448244980,orderbook_update,no,52,36
1767731448245441,orderbook_update,no,54,-27
1767731448256518,orderbook_update,no,54,-20
1767731448258024,orderbook_update,yes,43,-29
1767731448259843,orderbook_update,no,52,-36
1767731448278846,orderbook_update,yes,40,-100
1767731448278846,orderbook_update,yes,42,100
1767731448305148,orderbook_update,no,54,-35
1767731448306618,orderbook_update,no,45,29
1767731448321644,orderbook_update,no,45,-29
1767731448325231,orderbook_update,no,54,-32
1767731448328056,orderbook_update,yes,42,-100
1767731448343017,orderbook_update,no,54,-1
1767731448367585,orderbook_update,no,54,-12
1767731448367585,orderbook_update,no,52,12
1767731448379061,orderbook_update,no,52,-12
1767731448379061,orderbook_update,yes,48,21
1767731448380615,orderbook_update,no,47,31
1767731448385087,orderbook_update,yes,29,-5000
1767731448386352,orderbook_update,no,44,-5000
1767731448510631,orderbook_update,no,47,-1
1767731448528937,orderbook_update,yes,32,5000
1767731448530842,orderbook_update,no,41,5000
1767731448679251,orderbook_update,yes,32,-5000
1767731448680686,orderbook_update,no,41,-5000
1767731448817301,orderbook_update,yes,48,-17
1767731448961983,orderbook_update,yes,28,100
1767731448962144,orderbook_update,no,46,100
1767731449015627,orderbook_update,yes,28,-100
1767731449016651,orderbook_update,no,46,-100
1767731449098612,orderbook_update,no,44,1
1767731449271208,orderbook_update,yes,47,37
1767731449272182,orderbook_update,no,48,27
1767731449273146,orderbook_update,yes,48,-4
1767731449274757,orderbook_update,no,47,-30
1767731449443669,orderbook_update,no,47,100
1767731449443715,orderbook_update,yes,48,100
1767731449493231,orderbook_update,yes,48,-100
1767731449496743,orderbook_update,no,47,-100
1767731450000000,trade,yes,52,-5
1767731450232015,orderbook_update,no,48,-5
1767731450335331,orderbook_update,yes,27,-200
1767731450543174,orderbook_update,yes,48,100
1767731450581383,orderbook_update,yes,39,5000
1767731450582931,orderbook_update,no,34,5000
1767731450602454,orderbook_update,no,46,100
1767731450667762,orderbook_update,yes,48,-100
1767731450707264,orderbook_update,no,46,-100
1767731450725065,orderbook_update,yes,49,1
1767731450810136,orderbook_update,no,45,-200
1767731451712048,orderbook_update,yes,48,100
1767731451752922,orderbook_update,no,46,100
1767731451760021,orderbook_update,yes,48,-100
1767731451801320,orderbook_update,no,46,-100
1767731452807581,orderbook_update,yes,48,100
1767731452906931,orderbook_update,no,46,100
1767731453196628,orderbook_update,yes,40,200
1767731453558863,orderbook_update,no,35,200
1767731453999142,orderbook_update,yes,49,-1
1767731454053452,orderbook_update,yes,48,-100
1767731454053452,orderbook_update,yes,49,100
1767731454114184,orderbook_update,yes,49,-100
1767731454114184,orderbook_update,yes,50,100
1767731455134254,orderbook_update,yes,40,-200
1767731456000000,trade,yes,52,-9
1767731456054394,orderbook_update,no,46,-100
1767731456054394,orderbook_update,no,47,100
1767731456185794,orderbook_update,yes,50,-100
1767731456185794,orderbook_update,yes,49,100
1767731456334475,orderbook_update,no,35,-200
1767731456703641,orderbook_update,yes,50,1
1767731456970433,orderbook_update,no,48,-9
1767731457038220,orderbook_update,yes,49,-100
1767731457038220,orderbook_update,yes,50,100
1767731458811933,orderbook_update,yes,50,-100
1767731458811933,orderbook_update,yes,51,100
1767731458873729,orderbook_update,no,47,-100
1767731458873729,orderbook_update,no,45,100
1767731458885999,orderbook_update,yes,47,-37
1767731458886294,orderbook_update,yes,48,44
1767731458887332,orderbook_update,no,48,-13
1767731458887853,orderbook_update,no,47,20
1767731458904213,orderbook_update,yes,48,-44
1767731458907136,orderbook_update,no,47,-20
1767731458927033,orderbook_update,yes,50,24
1767731458928847,orderbook_update,no,45,39
1767731459032892,orderbook_update,yes,39,-5000
1767731459034447,orderbook_update,no,34,-5000
1767731459207021,orderbook_update,no,45,-100
1767731459207021,orderbook_update,no,44,100
1767731459222673,orderbook_update,yes,42,5000
1767731459224185,orderbook_update,no,31,5000
1767731459264650,orderbook_update,yes,51,-100
1767731459264650,orderbook_update,yes,52,100
1767731459599391,orderbook_update,yes,52,-100
1767731459599391,orderbook_update,yes,53,100
1767731459605974,orderbook_update,no,44,-100
1767731459605974,orderbook_update,no,42,100
1767731459654252,orderbook_update,yes,53,-100
1767731459654252,orderbook_update,yes,54,100
1767731459742895,orderbook_update,yes,51,29
1767731459743688,orderbook_update,yes,50,-24
1767731459744278,orderbook_update,no,44,35
1767731459744953,orderbook_update,no,45,-39
1767731459773857,orderbook_update,no,42,-100
1767731459773857,orderbook_update,no,40,100
1767731459838294,orderbook_update,yes,52,21
1767731459839871,orderbook_update,no,43,44
1767731459840517,orderbook_update,yes,51,-29
1767731459841332,orderbook_update,no,44,-35
1767731459879890,orderbook_update,yes,52,-21
1767731459887052,orderbook_update,no,43,-44
1767731459929313,orderbook_update,yes,53,32
1767731459930193,orderbook_update,no,42,32
1767731459969299,orderbook_update,no,31,-5000
1767731459986725,orderbook_update,yes,50,-1
1767731460000000,trade,no,54,-15
1767731460109797,orderbook_update,no,28,5000
1767731460206372,orderbook_update,yes,54,-15
1767731460265989,orderbook_update,yes,42,-5000
1767731460409214,orderbook_update,yes,45,5000
1767731460501875,orderbook_update,no,40,-100
1767731460523410,orderbook_update,yes,53,-32
1767731460526537,orderbook_update,yes,54,16
1767731460558066,orderbook_update,yes,54,-85
1767731460593738,orderbook_update,no,41,48
1767731460594230,orderbook_update,no,42,-32
1767731460855504,orderbook_update,no,39,100
1767731460856616,orderbook_update,yes,54,100
1767731460909081,orderbook_update,yes,54,-100
1767731460909081,orderbook_update,yes,46,100
1767731460973146,orderbook_update,yes,46,-100
1767731460973146,orderbook_update,yes,54,100
1767731461000000,trade,yes,55,-1
1767731461000000,trade,yes,55,-5
1767731461000000,trade,yes,56,-1
1767731461229980,orderbook_update,yes,54,-16
1767731461230742,orderbook_update,no,41,-48
1767731461236463,orderbook_update,yes,53,42
1767731461237737,orderbook_update,no,42,21
1767731461373178,orderbook_update,no,45,-1
1767731461373178,orderbook_update,no,45,-5
1767731461373178,orderbook_update,no,44,-1
1767731461373178,orderbook_update,yes,56,3
1767731461429313,orderbook_update,yes,54,-100
1767731461429313,orderbook_update,yes,55,100
1767731461494190,orderbook_update,yes,55,-100
1767731461494190,orderbook_update,yes,56,100
1767731461685784,orderbook_update,yes,46,200
1767731462099814,orderbook_update,yes,57,1
1767731462825861,orderbook_update,yes,56,-3
1767731463209436,orderbook_update,no,27,200
1767731465397820,orderbook_update,yes,57,-1
1767731466332105,orderbook_update,yes,46,-200
1767731466432903,orderbook_update,yes,54,16
1767731466438992,orderbook_update,yes,53,-42
1767731466458323,orderbook_update,no,39,-100
1767731466458323,orderbook_update,no,41,100
