timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724205736836,,,0.5000,,,,,,0.5000,,,
1767724219748016,,,0.5000,0.5800,0.0800,9.50,,0.4200,0.5000,0.0800,0.080000,-0.080000
1767724227808342,,,0.5400,0.5800,0.0400,9.50,,0.4200,0.4600,0.0400,0.040000,-0.040000
1767724229000000,,,0.5000,0.5800,0.0800,9.96,0.0400,0.4200,0.5000,0.0800,0.080000,-0.080000
1767724229875855,,,0.5000,0.5400,0.0400,9.96,0.0400,0.4600,0.5000,0.0400,0.040000,-0.040000
1767724231281109,,,0.5100,0.5400,0.0300,9.96,0.0400,0.4600,0.4900,0.0300,0.030000,-0.030000
1767724235252309,,,0.5000,0.5400,0.0400,41.76,4.7000,0.4600,0.5000,0.0400,0.040000,-0.040000
1767724235252309,,,0.4500,0.5400,0.0900,41.76,4.7000,0.4600,0.5500,0.0900,0.090000,-0.090000
1767724235473411,,,0.4500,0.4600,0.0100,41.76,4.7000,0.5400,0.5500,0.0100,0.010000,-0.010000
1767724240595475,,,0.4500,0.4900,0.0400,42.86,4.7200,0.5100,0.5500,0.0400,0.040000,-0.040000
1767724240596583,,,0.4000,0.4900,0.0900,42.86,4.7200,0.5100,0.6000,0.0900,0.090000,-0.090000
1767724240596583,,,0.4000,0.4500,0.0500,42.86,4.7200,0.5500,0.6000,0.0500,0.050000,-0.050000
1767724243659720,,,0.4000,0.4300,0.0300,42.86,4.7200,0.5700,0.6000,0.0300,0.030000,-0.030000
1767724243659741,,,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724244493649,,,0.2300,0.4300,0.2000,42.86,4.7200,0.5700,0.7700,0.2000,0.200000,-0.200000
1767724244494534,,,0.2300,0.4800,0.2500,42.86,4.7200,0.5200,0.7700,0.2500,0.250000,-0.250000
1767724244495478,,,0.3700,0.4800,0.1100,42.86,4.7200,0.5200,0.6300,0.1100,0.110000,-0.110000
1767724244496249,,,0.3700,0.4100,0.0400,42.86,4.7200,0.5900,0.6300,0.0400,0.040000,-0.040000
1767724245228260,,,0.3700,0.4000,0.0300,42.86,4.7200,0.6000,0.6300,0.0300,0.030000,-0.030000
1767724245281622,,,0.3700,0.4100,0.0400,42.86,4.7200,0.5900,0.6300,0.0400,0.040000,-0.040000
1767724245281622,,,0.3700,0.3900,0.0200,42.86,4.7200,0.6100,0.6300,0.0200,0.020000,-0.020000
1767724245347178,,,0.3700,0.4100,0.0400,42.86,4.7200,0.5900,0.6300,0.0400,0.040000,-0.040000
1767724245347178,,,0.3700,0.3800,0.0100,42.86,4.7200,0.6200,0.6300,0.0100,0.010000,-0.010000
1767724246531825,38.00,1.0000,0.3700,0.4200,0.0500,42.86,4.7200,0.5800,0.6300,0.0500,0.050000,-0.050000
1767724246746377,38.00,1.0000,0.2300,0.4200,0.1900,42.86,4.7200,0.5800,0.7700,0.1900,0.190000,-0.190000
1767724246746702,38.00,1.0000,0.3800,0.4200,0.0400,42.86,4.7200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724246747230,38.00,1.0000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724246834054,38.00,1.0000,0.3800,0.4200,0.0400,42.86,4.7200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724246946297,38.00,1.0000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724246946297,38.00,1.0000,0.3800,0.4100,0.0300,42.86,4.7200,0.5900,0.6200,0.0300,0.030000,-0.030000
1767724247062786,42.00,1.2000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724247062786,42.00,1.2000,0.3800,0.4000,0.0200,42.86,4.7200,0.6000,0.6200,0.0200,0.020000,-0.020000
1767724247896820,42.00,1.2000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724248444003,83.00,4.2000,0.3800,0.4200,0.0400,42.86,4.7200,0.5800,0.6200,0.0400,0.040000,-0.040000
1767724248499714,83.00,4.2000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724248499714,83.00,4.2000,0.3800,0.4100,0.0300,42.86,4.7200,0.5900,0.6200,0.0300,0.030000,-0.030000
1767724248667466,83.00,4.2000,0.3800,0.4300,0.0500,42.86,4.7200,0.5700,0.6200,0.0500,0.050000,-0.050000
1767724249747046,83.00,4.2000,0.3900,0.4300,0.0400,42.86,4.7200,0.5700,0.6100,0.0400,0.040000,-0.040000
